total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,benchmark_return,excess_return,total_trades,symbol,data_points,signals,avg_buy_strength,avg_sell_strength,avg_confidence
-0.04150317695023453,-0.041828159856674096,0.1860222744398115,-0.332369658649018,-0.18746638792628728,-0.22312351733752472,0.084,-0.06081270434376329,0.019309527393528758,36,AAPL,251,"{'buy': np.int64(19), 'sell': np.int64(18), 'hold': np.int64(214)}",39.5849378786921,38.11332115051026,13.679698332642618
0.0750723016201833,0.07569505987667546,0.13923282457258906,0.4000138620159848,-0.12315861225220252,0.6146144268146523,0.072,0.09515292039306544,-0.02008061877288214,33,MSFT,251,"{'buy': np.int64(16), 'sell': np.int64(17), 'hold': np.int64(218)}",38.19049792065966,37.397975198071116,15.293539359816995
0.015130687681657706,0.015252651676093132,0.12610225500743638,-0.0376468154643778,-0.08188368054846845,0.18627217992558123,0.076,-0.037106952160078754,0.05223763984173646,40,GOOGL,251,"{'buy': np.int64(19), 'sell': np.int64(21), 'hold': np.int64(211)}",39.27788434173869,36.43132453137269,15.614441312999991
0.06844421739877404,0.06901024600381755,0.12616718422630277,0.3884547816800695,-0.07050220096988274,0.978838178871855,0.072,-0.045970245103285845,0.11441446250205989,37,GOOG,251,"{'buy': np.int64(19), 'sell': np.int64(18), 'hold': np.int64(214)}",39.25098083916841,36.668072629731654,15.093640800142134
0.1460366908209607,0.14728709920476324,0.11104920175999275,1.1462225498915783,-0.07698118178813258,1.9132870629360619,0.084,0.12863280262825527,0.01740388819270544,33,AMZN,251,"{'buy': np.int64(21), 'sell': np.int64(12), 'hold': np.int64(218)}",37.267529865967184,38.373495505054876,15.133747082153786
-0.23857867139396405,-0.24023717779756515,0.22173726012707184,-1.1736285441987964,-0.3419327215086021,-0.7025861015513294,0.084,0.27228002258246664,-0.5108586939764307,45,NVDA,251,"{'buy': np.int64(22), 'sell': np.int64(23), 'hold': np.int64(206)}",39.270319085152096,38.669647525784114,16.534218751390483
-0.3302636614107196,-0.33240804499597376,0.34856719897056376,-1.0110189542698031,-0.435480847422821,-0.7633126622288147,0.108,0.6392969304021889,-0.9695605918129085,55,TSLA,251,"{'buy': np.int64(23), 'sell': np.int64(32), 'hold': np.int64(196)}",37.4409714458967,36.92497882180501,16.799766599434093
0.18010674901621648,0.18167123681277553,0.17610709130294,0.9180279772758733,-0.11207671570907915,1.6209543227903371,0.124,0.41202171067826887,-0.2319149616620524,59,META,251,"{'buy': np.int64(28), 'sell': np.int64(31), 'hold': np.int64(192)}",37.56527920656408,36.84491422520815,15.704708413952632
0.3545997974972783,0.35789282765884356,0.22144193641193444,1.525875510004044,-0.0710596478972943,5.036512820554953,0.088,-0.3645465011101061,0.7191462986073844,36,UNH,251,"{'buy': np.int64(8), 'sell': np.int64(28), 'hold': np.int64(215)}",38.2164615444553,38.08692541680335,13.455924882553825
0.017633805243175704,0.017776122192900923,0.061713295797157224,-0.036035635082732345,-0.03618922865849842,0.49119925601748093,0.06,0.04533607681755791,-0.02770227157438221,26,JNJ,251,"{'buy': np.int64(17), 'sell': np.int64(9), 'hold': np.int64(225)}",38.24003038002974,36.66760803816963,13.604590555116705
-0.05265249877402567,-0.05306234102781682,0.09270391013063833,-0.7881257751140959,-0.1518672523960481,-0.3493994932458369,0.068,-0.04804177545691979,-0.00461072331710588,35,XOM,251,"{'buy': np.int64(16), 'sell': np.int64(19), 'hold': np.int64(216)}",37.63523436676263,37.652826281256395,13.914901666056611
0.03697279940157383,0.03727402732171803,0.061524456242298096,0.2807668425981492,-0.03977699460665886,0.9370750025311912,0.06,0.44153235929105583,-0.404559559889482,30,JPM,251,"{'buy': np.int64(21), 'sell': np.int64(11), 'hold': np.int64(219)}",38.70595489142437,36.7592135834766,12.684812408712963
0.04034070699760717,0.04066990841024154,0.06839264951966656,0.30222412138453314,-0.05423352556997246,0.7499034588442706,0.072,0.3076634532428064,-0.26732274624519925,32,V,251,"{'buy': np.int64(18), 'sell': np.int64(14), 'hold': np.int64(219)}",37.83055568434308,37.15400777862687,13.397124186117644
0.14142487026097017,0.14263338700801764,0.05199053014339419,2.358763926233962,-0.020550551820373075,6.940611048050595,0.072,-0.040571359980793975,0.18199623024176415,26,PG,251,"{'buy': np.int64(13), 'sell': np.int64(13), 'hold': np.int64(225)}",38.88042661188455,37.32204774847054,14.511434032649193
0.06958757640025381,0.07016336737329887,0.07341092669604209,0.683322900703873,-0.036386449926962966,1.9282828501855753,0.072,0.079797358634222,-0.010209782233968179,34,HD,251,"{'buy': np.int64(18), 'sell': np.int64(16), 'hold': np.int64(217)}",37.58570460936434,38.439990868648046,14.53820270765587
0.012782553759210336,0.01288547022558939,0.10142561094268943,-0.07014529869019648,-0.08841982147438023,0.14573056143664545,0.096,-0.08015609007164781,0.09293864383085815,40,CVX,251,"{'buy': np.int64(18), 'sell': np.int64(22), 'hold': np.int64(211)}",38.08438997920697,38.1918680522887,14.924358365019115
0.0006739759536853462,0.0006793695924169896,0.05542046987366089,-0.3486190292436573,-0.07337055184248113,0.009259431411604001,0.056,0.242958780350083,-0.24228480439639766,27,MA,251,"{'buy': np.int64(26), 'sell': np.int64(1), 'hold': np.int64(224)}",38.52320914912135,40.156208269227335,14.198757078473516
-0.04183749212114418,-0.04216503482094236,0.08769255875697378,-0.7088974903015778,-0.08962631477301775,-0.47045373814294394,0.056,0.20050955414012628,-0.24234704626127046,31,BAC,251,"{'buy': np.int64(15), 'sell': np.int64(17), 'hold': np.int64(219)}",37.84960292097548,37.98867868764495,13.737069728082487
